isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
745,ALBANY PUBLIC SCHOOL DISTRICT,Stearns County,1774,22,1.2,FOUND_MED_POLICY_ONLY,Rural,0
716,BELLE PLAINE PUBLIC SCHOOL DISTRICT,Scott County,1578,19,1.2,FOUND_MED_POLICY_ONLY,Town,0
748,SARTELL-ST. STEPHEN SCHOOL DISTRICT,Stearns County,4118,50,1.2,FOUND_MED_POLICY_ONLY,Suburb,0
2903,ORTONVILLE PUBLIC SCHOOLS,Big Stone County,472,5,1.1,FOUND_SEIZURE_SPECIFIC,Rural,1
726,BECKER PUBLIC SCHOOL DISTRICT,Sherburne County,2833,30,1.1,FOUND_MED_POLICY_ONLY,Rural,0
545,HENNING PUBLIC SCHOOL DISTRICT,Otter Tail County,377,4,1.1,FOUND_SEIZURE_SPECIFIC,Rural,1
47,SAUK RAPIDS-RICE PUBLIC SCHOOLS,Benton County,4364,49,1.1,FOUND_SEIZURE_SPECIFIC,Suburb,1
2884,RED ROCK CENTRAL SCHOOL DISTRICT,Redwood County,419,4,1.0,FOUND_MED_POLICY_ONLY,Rural,0
531,BYRON PUBLIC SCHOOL DISTRICT,Olmsted County,2278,22,1.0,FOUND_MED_POLICY_ONLY,Town,0
466,Dassel-Cokato Public Schools,Wright County,2147,22,1.0,FOUND_SEIZURE_SPECIFIC,Rural,1
2580,EAST CENTRAL SCHOOL DISTRICT,Pine County,779,8,1.0,FOUND_MED_POLICY_ONLY,Rural,0
2165,HINCKLEY-FINLAYSON SCHOOL DISTRICT,Pine County,1008,10,1.0,FOUND_MED_POLICY_ONLY,Rural,0
721,NEW PRAGUE AREA SCHOOLS,Scott County,4201,44,1.0,FOUND_MED_POLICY_ONLY,Town,0
811,Wabasha-Kellogg School District,Wabasha County,899,9,1.0,FOUND_MED_POLICY_ONLY,Suburb,0
533,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,Olmsted County,1082,10,0.9,NOT_FOUND,Rural,0
2536,Granada Huntley East Chain,Martin County,325,3,0.9,FOUND_MED_POLICY_ONLY,Rural,0
534,STEWARTVILLE PUBLIC SCHOOL DISTRICT,Olmsted County,2058,18,0.9,FOUND_MED_POLICY_ONLY,Town,0
550,UNDERWOOD PUBLIC SCHOOL DISTRICT,Otter Tail County,581,5,0.9,NOT_FOUND,Rural,0
2902,RTR PUBLIC SCHOOLS,Lincoln County,599,5,0.8,FOUND_MED_POLICY_ONLY,Rural,0
206,ALEXANDRIA PUBLIC SCHOOL DISTRICT,Douglas County,4083,34,0.8,FOUND_SEIZURE_SPECIFIC,Town,1
477,PRINCETON PUBLIC SCHOOL DISTRICT,Mille Lacs County,3234,25,0.8,FOUND_SEIZURE_SPECIFIC,Town,1
818,VERNDALE PUBLIC SCHOOL DISTRICT,Wadena County,525,4,0.8,FOUND_MED_POLICY_ONLY,Rural,0
100,WRENSHALL PUBLIC SCHOOL DISTRICT,Carlton County,378,3,0.8,FOUND_MED_POLICY_ONLY,Rural,0
2143,WATERVILLE-ELYSIAN-MORRISTOWN,Le Sueur County,754,5,0.7,FOUND_SEIZURE_SPECIFIC,Rural,1
2144,CHISAGO LAKES SCHOOL DISTRICT,Chisago County,3357,24,0.7,FOUND_SEIZURE_SPECIFIC,Town,1
2155,WADENA-DEER CREEK SCHOOL DISTRICT,Wadena County,1060,7,0.7,FOUND_MED_POLICY_ONLY,Town,0
2176,WARREN-ALVARADO-OSLO SCHOOL DIST.,Marshall County,581,4,0.7,FOUND_MED_POLICY_ONLY,Rural,0
2169,MURRAY COUNTY CENTRAL SCHOOL DIST.,Murray County,706,5,0.7,NOT_FOUND,Rural,0
876,ANNANDALE PUBLIC SCHOOL DISTRICT,Wright County,2057,15,0.7,FOUND_MED_POLICY_ONLY,Rural,0
166,COOK COUNTY PUBLIC SCHOOLS,Cook County,431,3,0.7,FOUND_MED_POLICY_ONLY,Rural,0
