npi,name,city,state,zip5,lat,lon
1982630364,HY-VEE INC,PERRY,IA,50220,41.83609,-94.12296
1720014244,HY-VEE INC,KEOKUK,IA,52632,40.43915,-91.44079
1942236591,HY-VEE INC,OSKALOOSA,IA,52577,41.27193,-92.66047
1487696977,HY-VEE INC,HUXLEY,IA,50124,41.88569,-93.60408
1396460861,"HY-VEE, INC.",LA CROSSE,WI,54601,43.80439,-91.1425
1881774826,MAYO CLINIC HEALTH SYSTEM-SOUTHEAST MINNESOTA REGION,ALBERT LEA,MN,56007,43.66036,-93.32527
1831109073,"MAYO CLINIC HEALTH SYSTEM-SOUTHWEST WISCONSIN REGION, INC.",ONALASKA,WI,54650,43.91066,-91.22523
1174509046,"MAYO CLINIC HEALTH SYSTEM-SOUTHWEST WISCONSIN REGION, INC.",LA CROSSE,WI,54601,43.80439,-91.1425
1356576896,"MAYO CLINIC HEALTH SYSTEM-SOUTHWEST WISCONSIN REGION, INC.",HOLMEN,WI,54636,44.00759,-91.22657
1609970664,MAYO FOUNDATION FOR MEDICAL EDUCATION & RESEARCH,ROCHESTER,MN,55902,43.96721,-92.51596
1487109690,"MONUMENT HEALTH HOME PLUS, LLC",RAPID CITY,SD,57701,44.14153,-103.20508
1679028823,"MONUMENT HEALTH HOME PLUS, LLC",RAPID CITY,SD,57701,44.14153,-103.20508
1326593500,"MONUMENT HEALTH HOME PLUS, LLC",SPEARFISH,SD,57783,44.45605,-103.92832
