rank,isd,district,county,locale,classification,confirmation_status,nurse_risk_tier,prob_no_nurse,school_year,total_enrollment,sped_count,ohd_count,ohd_share_of_enrollment_pct,suppression_flag
56,2895,Jackson County Central School Dist.,Jackson County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1153,283,31,2.69,not_suppressed_in_source
57,2135,Maple River School District,Blue Earth County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",921,227,31,3.37,not_suppressed_in_source
58,750,Rocori Public School District,Stearns County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2025,330,31,1.53,not_suppressed_in_source
59,682,Roseau Public School District,Roseau County,Rural,NOT_FOUND,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1081,198,31,2.87,not_suppressed_in_source
60,777,Benson Public School District,Swift County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",827,188,30,3.63,not_suppressed_in_source
61,182,Crosby-Ironton School District,Crow Wing County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",1042,265,30,2.88,not_suppressed_in_source
62,2753,Long Prairie-Grey Eagle School Dist,Todd County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",1522,336,30,1.97,not_suppressed_in_source
63,162,Bagley Public School District,Clearwater County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",863,205,29,3.36,not_suppressed_in_source
64,14,Fridley Public School District,Anoka County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",3506,472,29,0.83,not_suppressed_in_source
65,695,Chisholm Public School District,St. Louis County,Town,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",701,184,28,3.99,not_suppressed_in_source
66,300,La Crescent-Hokah School District,Houston County,Suburb,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",1020,182,28,2.75,not_suppressed_in_source
67,2342,West Central Area,Grant County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",772,181,28,3.63,not_suppressed_in_source
68,2853,Lac Qui Parle Valley Schools,Lac qui Parle County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",966,204,27,2.8,not_suppressed_in_source
69,484,Pierz Public School District,Morrison County,Rural,NOT_VERIFIABLE,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",991,170,27,2.72,not_suppressed_in_source
70,2176,Warren-Alvarado-Oslo School Dist.,Marshall County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",640,114,27,4.22,not_suppressed_in_source
71,252,Cannon Falls Public School District,Goodhue County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1163,266,26,2.24,not_suppressed_in_source
72,593,Crookston Public School District,Polk County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1372,345,26,1.9,not_suppressed_in_source
73,139,Rush City Public School District,Chisago County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",843,192,26,3.08,not_suppressed_in_source
74,2805,Zumbrota-Mazeppa School District,Goodhue County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1278,236,26,2.03,not_suppressed_in_source
75,166,Cook County Public Schools,Cook County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",446,135,25,5.61,not_suppressed_in_source
76,2365,Gfw Public Schools,Sibley County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",873,193,25,2.86,not_suppressed_in_source
